P00734	['Prothrombin', '3.4.21.5', 'Coagulation factor II']
P62166	['Frequenin-like protein', 'Neuronal calcium sensor 1', 'NCS-1', 'Frequenin-like ubiquitous protein', 'FLUP', 'FREQ', 'Frequenin homolog']
P02774	['Vitamin D-binding protein-macrophage activating factor', 'DBP-maf', 'Gc-MAF', 'DBP', 'GcMAF', 'Vitamin D-binding protein', 'Group-specific component', 'Gc-globulin', 'Gc', 'Gc protein-derived macrophage activating factor']
P70174	['Histamine H1 receptor', 'H1R', 'Bphs']
P12851	['Xylose isomerase', '5.3.1.5', 'XI']
Q96RI0	['Proteinase-activated receptor 4', 'PAR4', 'PAR-4', 'Thrombin receptor-like 3', 'Coagulation factor II receptor-like 3']
P02679	['Fibrinogen gamma chain  precursor', 'Fibrinogen gamma chain']
Q25634	['Glutamate-gated chloride channel']
Q8SPQ9	['Cyclooxygenase 2', 'Prostaglandin-endoperoxide synthase 2', 'COX-2', 'Prostaglandin G/H synthase-2']
Q9NZQ7	['PD-L1', 'PDCD1LG1', 'Programmed cell death 1 ligand 1', 'B7 homolog 1', 'PDCD1L1', 'B7H1', 'B7-H1', 'PDL1']
P08667	['Glycoprotein']
P20333	['TNFBR', 'TNFR2', 'Tumor necrosis factor receptor type II', 'Tumor necrosis factor receptor 2', 'p75', 'TNF-RII', 'Tumor necrosis factor receptor superfamily member 1B', 'TNF-R2', 'p80 TNF-alpha receptor', 'TNFR-II']
O75964	['ATP synthase subunit g, mitochondrial', 'ATPase subunit g']
P48047	['ATPO', 'Oligomycin sensitivity conferral protein', 'ATP synthase subunit O, mitochondrial', 'OSCP']
P21291	['Cysteine and glycine-rich protein 1', 'Cysteine-rich protein 1', 'CRP1', 'CYRP', 'CSRP', 'HEL-141', 'CRP', 'Epididymis luminal protein 141']
Q16555	['ULIP2', 'Dihydropyrimidinase-related protein 2', 'DRP-2', 'N2A3', 'Collapsin response mediator protein 2', 'ULIP-2', 'Unc-33-like phosphoprotein 2', 'CRMP-2', 'CRMP2']
P21333	['Non-muscle filamin', 'FLN', 'Actin-binding protein 280', 'FLN-A', 'Filamin-A', 'Alpha-filamin', 'Endothelial actin-binding protein', 'ABP-280', 'Filamin-1', 'FLN1']
Q9C0B1	['Alpha-ketoglutarate-dependent dioxygenase FTO', 'KIAA1752', '1.14.11.-', 'Fat mass and obesity-associated protein']
Q14103	['AU-rich element RNA-binding protein 1', 'hnRNP D0', 'AUF1', 'Heterogeneous nuclear ribonucleoprotein D0', 'HNRPD']
P61978	['HNRPK', 'hnRNP K', 'Transformation up-regulated nuclear protein', 'TUNP', 'Heterogeneous nuclear ribonucleoprotein K']
Q5SSJ5	['Heterochromatin protein 1-binding protein 3', 'Protein HP1-BP74']
P46940	['Ras GTPase-activating-like protein IQGAP1', 'KIAA0051', 'p195']
P55786	['3.4.11.14', 'Cytosol alanyl aminopeptidase', 'PSA', 'AAP-S', 'Puromycin-sensitive aminopeptidase']
P27635	['60S ribosomal protein L10', 'Tumor suppressor QM', 'Laminin receptor homolog', 'Protein QM', 'QM', 'Large ribosomal subunit protein uL16', 'DXS648E']
P50914	['CAG-ISL 7', '60S ribosomal protein L14', 'Large ribosomal subunit protein eL14']
Q07020	['Large ribosomal subunit protein eL18', '60S ribosomal protein L18']
P42766	['60S ribosomal protein L35', 'Large ribosomal subunit protein uL29']
P36578	['RPL1', 'Large ribosomal subunit protein uL4', '60S ribosomal protein L4', '60S ribosomal protein L1']
P62277	['Small ribosomal subunit protein uS15', '40S ribosomal protein S13']
P08708	['Small ribosomal subunit protein eS17', '40S ribosomal protein S17', 'RPS17L']
P62269	['Small ribosomal subunit protein uS13', '40S ribosomal protein S18', 'D6S218E', 'Ke3', 'Ke-3']
P39019	['40S ribosomal protein S19', 'Small ribosomal subunit protein eS19']
P62857	['40S ribosomal protein S28', 'Small ribosomal subunit protein eS28']
P46782	['Small ribosomal subunit protein uS7', '40S ribosomal protein S5']
P62753	['Small ribosomal subunit protein eS6', 'Phosphoprotein NP33', '40S ribosomal protein S6']
P62241	['Small ribosomal subunit protein eS8', '40S ribosomal protein S8']
P46781	['40S ribosomal protein S9', 'Small ribosomal subunit protein uS4']
Q15637	['Zinc finger protein 162', 'Splicing factor 1', 'mBBP', 'BBP', 'Mammalian branch point-binding protein', 'ZNF162', 'ZFM1', 'Transcription factor ZFM1', 'Zinc finger gene in MEN1 locus']
P62316	['snRNP core protein D2', 'SNRPD1', 'Small nuclear ribonucleoprotein Sm D2', 'Sm-D2']
P37108	['18 kDa Alu RNA-binding protein', 'Signal recognition particle 14 kDa protein', 'SRP14']
Q08170	['Pre-mRNA-splicing factor SRP75', 'SFRS4', 'Serine/arginine-rich splicing factor 4', 'SRP75', 'Splicing factor, arginine/serine-rich 4', 'SRP001LB']
Q01995	['22 kDa actin-binding protein', 'Transgelin', 'Protein WS3-10', 'WS3-10', 'Smooth muscle protein 22-alpha', 'SM22-alpha', 'SM22']
P37802	['Transgelin-2', 'SM22-alpha homolog', 'KIAA0120', 'Epididymis tissue protein Li 7e']
P09493	['Alpha-tropomyosin', 'Tropomyosin alpha-1 chain', 'C15orf13', 'TMSA', 'Tropomyosin-1']
P08670	['Vimentin']
Q15942	['Zyxin-2', 'Zyxin']
P35579	['NMMHC-IIA', 'Cellular myosin heavy chain, type A', 'Myosin heavy chain, non-muscle IIa', 'Myosin heavy chain 9', 'NMMHC II-a', 'Non-muscle myosin heavy chain IIa', 'Non-muscle myosin heavy chain A', 'Myosin-9', 'NMMHC-A']
P17844	['G17P1', 'RNA helicase p68', 'DEAD box protein 5', 'HELR', 'Probable ATP-dependent RNA helicase DDX5', 'HLR1', '3.6.4.13']
Q13838	['DEAD box protein UAP56', 'ATP-dependent RNA helicase p47', 'UAP56', 'Spliceosome RNA helicase DDX39B', 'BAT1', '56 kDa U2AF65-associated protein', '3.6.4.13', 'HLA-B-associated transcript 1 protein']
P06748	['Numatrin', 'NPM', 'Nucleophosmin', 'Nucleolar protein NO38', 'Nucleolar phosphoprotein B23']
Q8I3Z5	['TCTP', 'Translationally-controlled tumor protein homolog']
Q5R2K6	['Sarcoplasmic and endoplasmic reticulum Ca-ATPase', 'P-type calcium transporting ATPase', 'P-type Ca2+-transporting ATPase', 'Sarcoplasmic/endoplasmic reticulum Ca2+ ATPase']
Q6LFH8	['Ornithine aminotransferase', 'Ornithine--oxo-acid aminotransferase', '2.6.1.13']
Q00080	['Elongation factor 1-alpha', 'EF-1-alpha']
P13568	['Chloroquine resistance protein', 'Multidrug resistance protein', '3.6.3.44']
Q8IKW5	['Elongation factor 2']
P86287	['Actin-1', 'Actin I', 'PfACT1']
Q8IKK7	['Glyceraldehyde-3-phosphate dehydrogenase', '1.2.1.12']
P14223	['Fructose-bisphosphate aldolase', '4.1.2.13', '41 kDa antigen']
C6KT34	['Cell division cycle protein 48 homologue,putative']
Q8IC05	['Heat shock protein 90']
Q8IKF0	['Helicase 45', 'Eukaryotic initiation factor 4A']
C6KTA4	['2.7.1.40', 'Pyruvate kinase']
C0H4Y6	['Protein disulfide-isomerase', '5.3.4.1']
Q8IDH5	['Thioredoxin-related protein, putative']
Q8II73	['Spermidine synthase']
Q8I2Z8	['Probable ATP-dependent 6-phosphofructokinase', '2.7.1.11', 'ATP-PFK', 'Phosphohexokinase']
Q8ILF7	['Glutamate dehydrogenase']
Q8I0V4	['Endoplasmin homolog, putative', 'Endoplasmin, putative']
Q8IJN7	['4.2.1.11', '2-phosphoglycerate dehydratase', 'Enolase', '2-phospho-D-glycerate hydro-lyase']
Q8IKH8	['40S ribosomal protein S3', '40S ribosomal protein S3, putative']
A0A143ZZK9	['Non-SERCA-type Ca2+-transporting P-ATPase']
P14642	['Tubulin alpha chain']
P13817	['Knob-associated histidine-rich protein', 'HRPI']
Q7K6A4	['S-adenosylmethionine synthase', '2.5.1.6']
Q8IKR1	['V-type H(+)-translocating pyrophosphatase,putative', 'V-type H(+)-translocating pyrophosphatase, putative']
Q8I431	['60S ribosomal protein L4']
Q8IDQ9	['Phosphoethanolamine N-methyltransferase']
O97313	['40S ribosomal protein S3a']
Q8IJT2	['Protein ARV1, putative', 'Conserved Plasmodium membrane protein']
Q8IJC6	['60S ribosomal protein L3', '60S ribosomal protein L3, putative']
C0H571	['High molecular weight rhoptry protein 2']
T1RTG8	['Serine repeat antigen 5']
C0H5C2	['40S ribosomal protein S19']
Q8I6U8	['Glycophorin-binding protein', 'GBP-130']
Q08853	['3.6.3.8', 'Calcium pump', 'Calcium-transporting ATPase']
Q76NM6	['V-type proton ATPase catalytic subunit A', 'V-ATPase 69 kDa subunit', '3.6.3.14', 'Vacuolar proton pump subunit alpha', 'V-ATPase subunit A']
Q8I3T9	['60S ribosomal protein L2']
Q8I0X2	['Acyl-CoA synthetase, PfACS3', 'Acyl-CoA synthetase']
Q8IM16	['Plasmepsin IV']
Q7KQM4	['PfAPG', 'Plasmepsin-1', 'Aspartic hemoglobinase I', '3.4.23.38']
Q9N623	['Chloroquine resistance transporter', 'PfCRT']
C0H4V6	['14-3-3 protein']
Q8I5G6	['Isoleucine--tRNA ligase, putative']
C6S3C7	['Plasmodium exported protein']
Q7KQL5	['Tubulin beta chain', 'Beta-tubulin']
Q8IKM5	['60S ribosomal protein L27', '60S ribosomal protein L27, putative']
Q8IL86	['Secretory complex protein 62', 'Sec62, putative']
Q8IJR6	['Conserved Plasmodium protein', 'Autophagy-related protein 18, putative']
Q8I492	['Mature parasite-infected erythrocyte surface antigen']
C0H4L1	['Importin-7, putative']
Q8IAW0	['Importin subunit alpha']
Q76NN7	['Peptidyl-prolyl cis-trans isomerase', '5.2.1.8', 'PPIase']
Q8IB72	['DnaJ protein, putative']
P13827	['Merozoite surface protein 1', 'Glycoprotein 185', 'PMMSA', 'GP185', 'Merozoite surface antigens']
Q8IDD3	['Glutamate--tRNA ligase']
O77323	['TCP-1-eta', 'T-complex protein 1 subunit eta', 'CCT-eta']
C0H546	['Chaperone, putative']
Q8I4R5	['Rhoptry neck protein 3', 'Rhoptry neck protein 3, putative']
Q8IBN5	['40S ribosomal protein S5, putative']
Q8I487	['Skeleton-binding protein 1']
P50250	['3.3.1.1', 'Adenosylhomocysteinase', 'PfSAHH', 'S-adenosyl-L-homocysteine hydrolase', 'AdoHcyase']
Q8IJA9	['Adenosine deaminase, putative', 'Adenosine deaminase']
Q8IJ60	['Methionine--tRNA ligase', 'Methionine--tRNA ligase, putative']
Q8IEN3	['Carbamoyl phosphate synthetase']
Q8IDP8	['Aspartate carbamoyltransferase']
Q8I4W4	['Signal recognition particle, beta subunit, putative', 'Signal recognition particle receptor, beta subunit']
O77361	['Parasite-infected erythrocyte surface protein']
C6KSR5	['Coatomer alpha subunit, putative']
Q02155	['Hexokinase', '2.7.1.1']
Q8IBI3	['3.4.25.1', 'Proteasome subunit alpha type']
Q8IJ74	['Haloacid dehalogenase-like hydrolase, putative', 'Haloacid dehalogenase-like hydrolase']
Q8III5	['Insulinase, putative']
Q8IHS5	['40S ribosomal protein S21']
Q8IDP1	['Ubiquitin-conjugating enzyme E2']
Q8I5Y3	['Eukaryotic translation initiation factor 3 subunit C', 'Eukaryotic translation initiation factor 3 subunit 8', 'eIF3c']
Q8IEM3	['60S ribosomal protein L24, putative']
Q8IE82	['60S ribosomal protein L23']
Q8IDI5	['60S ribosomal protein L17, putative']
Q8IM15	['Plasmepsin III', 'HAP protein']
C0H5H0	['Heat shock protein 110, putative']
Q8ILV2	['60S ribosomal protein L10, putative']
Q8IM74	['Lysophospholipase, putative']
Q8I5H4	['PABP', 'Polyadenylate-binding protein']
Q8ID50	['Ubiquitin-60S ribosomal protein L40']
Q8IE67	['Phosphoribosylpyrophosphate synthetase']
Q8IL80	['Thioredoxin peroxidase 1']
O96221	['Protein transport protein SEC31', 'Sec31p putative']
A0A144A2G5	['Dipeptidyl aminopeptidase 1']
P13830	['Ring-infected erythrocyte surface antigen']
Q9TY94	['ATP-dependent RNA helicase UAP56', 'DEAD box helicase, UAP56']
Q8IBS5	['Calcium-dependent protein kinase 4', '2.7.11.1', 'CDPK4']
P38545	['Ras-like protein TC4', 'GTP-binding nuclear protein Ran', 'GTPase Ran']
Q8IB78	['Nucleoside transporter 2']
C0H4X5	['Anamorsin homolog', 'Fe-S cluster assembly protein DRE2 homolog']
C0H551	['Glutamine synthetase, putative']
Q8IJK8	['60S ribosomal protein L30e, putative']
Q8IIR9	['Casein kinase 2, alpha subunit', 'Casein kinase II, alpha subunit, putative']
Q8IIA4	['Threonine--tRNA ligase, putative', 'Threonine--tRNA ligase']
Q7KQK0	['cAMP-dependent protein kinase regulatory subunit, putative', 'cAMP-dependent protein kinase regulatory subunit']
Q8IDV0	['Elongation factor 1-gamma, putative']
Q8IKL4	['Thioredoxin-like protein', 'Thioredoxin-like protein 1']
Q8ILK3	['60S ribosomal protein L21', '60S ribosomal protein L21e, putative']
Q8ILE8	['60S ribosomal protein L14, putative']
Q8IKM6	['Inner membrane complex sub-compartment protein 3']
Q8IL88	['HSP40, subfamily A, putative']
C6KT50	['PLP synthase subunit Pdx1', '4.3.3.6', "Pyridoxal 5'-phosphate synthase subunit Pdx1"]
Q13873	['PPH1', '2.7.11.30', 'BMP type II receptor', 'BMP type-2 receptor', 'Bone morphogenetic protein receptor type II', 'Bone morphogenetic protein receptor type-2', 'BMPR-II']
P36894	['Bone morphogenetic protein receptor type-1A', 'ACVRLK3', 'ALK3', 'ALK-3', 'BMP type-1A receptor', 'Serine/threonine-protein kinase receptor R5', 'SKR5', 'Activin receptor-like kinase 3', '2.7.11.30']
P21860	['2.7.10.1', 'Receptor tyrosine-protein kinase erbB-3', 'HER3', 'Tyrosine kinase-type cell surface receptor HER3', 'Proto-oncogene-like protein c-ErbB-3']
P32245	['MC4-R', 'Melanocortin receptor 4']
P41968	['Melanocortin receptor 3', 'MC3-R']
P33032	['MC5-R', 'Melanocortin receptor 5', 'MC-2']
O15440	['Multidrug resistance-associated protein 5', 'MOAT-C', 'Multi-specific organic anion transporter C', 'ATP-binding cassette sub-family C member 5', 'pABC11', 'MRP5', 'SMRP']
Q05318	['Transcriptase', 'Protein L', 'Replicase', 'Large structural protein', 'RNA-directed RNA polymerase L']
Q14790	['FLICE', 'CAP4', 'ICE-like apoptotic protease 5', '3.4.22.61', 'FADD-homologous ICE/ced-3-like protease', 'MACH', 'MORT1-associated ced-3 homolog', 'Caspase-8', 'MCH5', 'Apoptotic cysteine protease', 'Apoptotic protease Mch-5', 'FADD-like ICE', 'CASP-8']
Q15139	['Protein kinase D', 'PRKCM', 'nPKC-mu', 'PKD1', 'Protein kinase C mu type', 'nPKC-D1', '2.7.11.13', 'PKD', 'Serine/threonine-protein kinase D1']
Q9Z1N9	['Munc13-2', 'Protein unc-13 homolog B', 'Unc13a', 'munc13']
P48764	['Solute carrier family 9 member 3', 'NHE-3', 'Sodium/hydrogen exchanger 3', 'NHE3', 'Na(+)/H(+) exchanger 3']
P01854	['Ig epsilon chain C region', 'Immunoglobulin heavy constant epsilon', 'Ig epsilon chain C region ND']
Q9BQB4	['Sclerostin']
Q4VB53	['IL13 protein']
P53396	['ATP-citrate (pro-S-)-lyase', '2.3.3.8', 'ATP-citrate synthase', 'ACL', 'Citrate cleavage enzyme']
O14980	['Chromosome region maintenance 1 protein homolog', 'Exportin-1', 'CRM1', 'Exp1']
P10745	['Retinol-binding protein 3', 'IRBP', 'Interphotoreceptor retinoid-binding protein', 'Interstitial retinol-binding protein']
Q16288	['Neurotrophic tyrosine kinase receptor type 3', 'TrkC tyrosine kinase', '2.7.10.1', 'Trk-C', 'TRKC', 'GP145-TrkC', 'NT-3 growth factor receptor']
P08922	['2.7.10.1', 'c-Ros receptor tyrosine kinase', 'Receptor tyrosine kinase c-ros oncogene 1', 'Proto-oncogene c-Ros-1', 'ROS', 'Proto-oncogene tyrosine-protein kinase ROS', 'Proto-oncogene c-Ros', 'MCF3']
P05181	['1.14.13.-', 'Cytochrome P450 2E1', '4-nitrophenol 2-hydroxylase', 'CYP2E', 'CYPIIE1', 'Cytochrome P450-J']
P22309	['UDP-glucuronosyltransferase 1A1', 'UGT1A', 'hUG-BR1', 'UGT1', 'UDP-glucuronosyltransferase 1-1', 'Bilirubin-specific UDPGT isozyme 1', 'UDPGT 1-1', 'GNT1', 'UGT-1A', 'UDP-glucuronosyltransferase 1-A', '2.4.1.17']
P62344	['CDPK1', 'Calcium-dependent protein kinase 1', '2.7.11.1']
Q9UK32	['Ribosomal protein S6 kinase alpha-6', 'S6K-alpha-6', 'Ribosomal S6 kinase 4', 'RSK-4', '2.7.11.1', 'pp90RSK4', 'RSK4', 'p90-RSK 6', '90 kDa ribosomal protein S6 kinase 6', 'p90RSK6']
Q8NI60	['Chaperone-ABC1-like', '2.7.-.-', 'Chaperone activity of bc1 complex-like', 'Coenzyme Q protein 8A', 'aarF domain-containing protein kinase 3', 'Atypical kinase COQ8A, mitochondrial', 'CABC1', 'ADCK3']
Q8IY84	['NIM1', 'Serine/threonine-protein kinase NIM1', '2.7.11.1', 'NIM1 serine/threonine-protein kinase']
Q9Y6E0	['MST3', '2.7.11.1', 'STE20-like kinase MST3', 'MST-3', 'Mammalian STE20-like protein kinase 3', 'STK3', 'Serine/threonine-protein kinase 24']
Q13188	['MST-2', 'Serine/threonine-protein kinase 3', '2.7.11.1', 'MST2', 'STE20-like kinase MST2', 'Serine/threonine-protein kinase Krs-1', 'Mammalian STE20-like protein kinase 2', 'KRS1']
P42680	['2.7.10.2', 'Tyrosine-protein kinase Tec', 'PSCTK4']
Q9BYT3	['Serine/threonine-protein kinase 33', '2.7.11.1']
Q8TDR2	['STK35L1', 'CLIK1', 'PDLIM1-interacting kinase 1', '2.7.11.1', 'CLIK-1', 'PDIK1', 'Serine/threonine-protein kinase 35', 'CLP-36-interacting kinase 1', 'Serine/threonine-protein kinase 35 L1']
Q9NRP7	['Serine/threonine-protein kinase 36', 'KIAA1278', 'Fused homolog', '2.7.11.1']
Q15208	['NDR1 protein kinase', 'NDR1', 'Nuclear Dbf2-related kinase 1', '2.7.11.1', 'Serine/threonine-protein kinase 38']
Q9Y2H1	['Nuclear Dbf2-related kinase 2', '2.7.11.1', 'NDR2', 'Serine/threonine-protein kinase 38-like', 'NDR2 protein kinase', 'KIAA0965']
Q9UEW8	['2.7.11.1', 'SPAK', 'DCHT', 'Ste-20-related kinase', 'STE20/SPS1-related proline-alanine-rich protein kinase', 'Serine/threonine-protein kinase 39']
Q7L7X3	['TAOK1', 'PSK-2', 'PSK2', 'KIAA1361', 'hTAOK1', '2.7.11.1', 'hKFC-B', 'Serine/threonine-protein kinase TAO1', 'Kinase from chicken homolog B', 'MARK Kinase', 'MARKK', 'Prostate-derived STE20-like kinase 2', 'Prostate-derived sterile 20-like kinase 2', 'Thousand and one amino acid protein kinase 1', 'MAP3K16']
Q9H2K8	['hKFC-A', 'CTCL-associated antigen HD-CL-09', '2.7.11.1', 'Kinase from chicken homolog A', 'DPK', 'Serine/threonine-protein kinase TAO3', 'Dendritic cell-derived protein kinase', 'JNK/SAPK-inhibitory kinase', 'MAP3K18', 'KDS', 'Thousand and one amino acid protein 3', 'Cutaneous T-cell lymphoma-associated antigen HD-CL-09', 'Jun kinase-inhibitory kinase', 'JIK']
Q9UHD2	['NF-kappa-B-activating kinase', 'NAK', '2.7.11.1', 'T2K', 'TANK-binding kinase 1', 'Serine/threonine-protein kinase TBK1']
Q15569	['Testicular protein kinase 1', 'Dual specificity testis-specific protein kinase 1', '2.7.12.1']
P35590	['2.7.10.1', 'TIE', 'Tyrosine-protein kinase receptor Tie-1']
Q9UKI8	['PKU-beta', '2.7.11.1', 'Serine/threonine-protein kinase tousled-like 1', 'KIAA0137', 'Tousled-like kinase 1']
Q86UE8	['PKU-alpha', 'Serine/threonine-protein kinase tousled-like 2', '2.7.11.1', 'Tousled-like kinase 2', 'HsHPK']
Q9UKE5	['KIAA0551', '2.7.11.1', 'TRAF2 and NCK-interacting protein kinase']
Q13470	['2.7.10.2', 'Non-receptor tyrosine-protein kinase TNK1', 'CD38 negative kinase 1']
Q59H18	['CARK', '2.7.11.1', 'Serine/threonine-protein kinase TNNI3K', 'Cardiac ankyrin repeat kinase', 'TNNI3-interacting kinase', 'Cardiac troponin I-interacting kinase']
Q9BXA7	['SPOGA4', 'STK22A', 'TSSK1', 'Serine/threonine-protein kinase 22A', '2.7.11.1', 'STK22D', 'Testis-specific serine/threonine-protein kinase 1', 'TSK-1', 'SPOGA1']
P42681	['PTK4', '2.7.10.2', 'Resting lymphocyte kinase', 'Tyrosine-protein kinase TXK', 'RLK', 'Protein-tyrosine kinase 4']
Q06418	['2.7.10.1', 'Tyrosine-protein kinase RSE', 'Tyrosine-protein kinase receptor TYRO3', 'Tyrosine-protein kinase TIF', 'DTK', 'RSE', 'SKY', 'Tyrosine-protein kinase BYK', 'BYK', 'Tyrosine-protein kinase DTK', 'TIF', 'Tyrosine-protein kinase SKY']
O75385	['Unc-51-like kinase 1', '2.7.11.1', 'Autophagy-related protein 1 homolog', 'Serine/threonine-protein kinase ULK1', 'KIAA0722', 'ATG1', 'hATG1']
Q8IYT8	['Serine/threonine-protein kinase ULK2', 'KIAA0623', '2.7.11.1', 'Unc-51-like kinase 2']
Q6PHR2	['Unc-51-like kinase 3', '2.7.11.1', 'Serine/threonine-protein kinase ULK3']
Q56UN5	['Mitogen-activated protein kinase kinase kinase 19', 'YSK4', 'RCK', '2.7.11.1', 'Regulated in COPD, protein kinase', 'SPS1/STE20-related protein kinase YSK4']
Q2M2I8	['AP2-associated protein kinase 1', 'Adaptor-associated kinase 1', '2.7.11.1', 'KIAA1048']
Q96D53	['2.7.-.-', 'Coenzyme Q protein 8B', 'ADCK4', 'AarF domain-containing protein kinase 4', 'Atypical kinase COQ8B, mitochondrial']
Q8NFD2	['Protein kinase PKK2', 'Ankyrin repeat and protein kinase domain-containing protein 1', 'Sugen kinase 288', '2.7.11.1', 'X-kinase', 'SGK288', 'PKK2']
P30530	['AXL oncogene', '2.7.10.1', 'Tyrosine-protein kinase receptor UFO', 'UFO']
P51451	['B lymphocyte kinase', '2.7.10.2', 'p55-Blk', 'Tyrosine-protein kinase Blk']
Q9NSY1	['BIKE', 'BMP-2-inducible protein kinase', '2.7.11.1']
O00238	['BMP type-1B receptor', 'Bone morphogenetic protein receptor type-1B', '2.7.11.30']
P51813	['Cytoplasmic tyrosine-protein kinase BMX', 'Epithelial and endothelial tyrosine kinase', '2.7.10.2', 'Bone marrow tyrosine kinase gene in chromosome X protein', 'ETK', 'NTK38']
Q14012	['CaMKI-alpha', '2.7.11.17', 'CaM-KI', 'Calcium/calmodulin-dependent protein kinase type 1', 'CaM kinase I alpha', 'CaM kinase I']
Q8N5S9	['CaM-kinase IV kinase', 'CaM-KK 1', '2.7.11.17', 'CaM-kinase kinase alpha', 'CaMKK alpha', 'CaM-KK alpha', 'Calcium/calmodulin-dependent protein kinase kinase 1', 'Calcium/calmodulin-dependent protein kinase kinase alpha', 'CAMKKA']
Q96RR4	['Calcium/calmodulin-dependent protein kinase kinase 2', '2.7.11.17', 'CAMKKB', 'CaM-kinase kinase beta', 'CaM-KK 2', 'KIAA0787', 'CaMKK beta', 'Calcium/calmodulin-dependent protein kinase kinase beta', 'CaM-KK beta']
